Player,Pos,Ht (in),Wt (lbs) ,
Lias Andersson ,C,73,204,
Matt Beleskey ,LW,72,207,
Pavel Buchnevich ,RW,75,196,
Paul Carey ,C,73,200,
Daniel Catenacci ,C,70,193,
Filip Chytil ,C,74,208,
Adam Cracknell ,RW,75,209,
David Desharnais ,C,67,180,
Jesper Fast (A),RW,73,192,
Steven Fogarty ,C,75,210,
Michael Grabner ,RW,73,188,
Kevin Hayes ,C,77,216,
Peter Holland ,C,74,193,
Chris Kreider (A),LW,75,216,
Vinni Lettieri ,C,71,191,
Cody McLeod ,LW,74,204,
J.T. Miller ,C,73,218,
Vladislav Namestnikov ,C,72,184,
Rick Nash ,LW,76,211,
Boo Nieves ,C,75,210,
Ryan Spooner ,C,71,191,
Jimmy Vesey ,LW,75,199,
Mika Zibanejad (A),C,74,213,
Mats Zuccarello (A),RW,68,184,
Tony DeAngelo ,D,71,180,
John Gilmour ,D,72,190,
Nick Holden ,D,76,214,
Steven Kampfer ,D,71,198,
Ryan McDonagh ,D,73,215,
Rob O'Gara ,D,76,214,
Neal Pionk ,D,72,186,
Kevin Shattenkirk ,D,72,206,
Brady Skjei ,D,75,214,
Brendan Smith ,D,74,195,
Ryan Sproul ,D,76,205,
Marc Staal (A),D,76,213,
Alexandar Georgiev ,G,73,179,
Brandon Halverson ,G,76,210,
Henrik Lundqvist ,G,73,180,
Ondrej Pavelec ,G,75,212,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Ht,,Born,Birthplace
Alexandar Georgiev ,"6' 1""",,"Feb 10, 1996","Ruse, BGR"
Brandon Halverson ,"6' 4""",,"Mar 29, 1996","Traverse City, MI, USA"
Henrik Lundqvist ,"6' 1""",,"Mar 2, 1982","Are, SWE"
Ondrej Pavelec ,"6' 3""",,"Aug 31, 1987","Kladno, CZE"
